Entry	Reviewed	Length	Organism (ID)	PDB	Superkingdom	Phylum
A0A0E1NTY8	unreviewed	327	360102		Bacteria	Pseudomonadota
A0A0E1SWJ9	unreviewed	329	344610		Bacteria	Pseudomonadota
A0A0E1U1U2	unreviewed	331	557724		Bacteria	Pseudomonadota
A0A0E1U7P9	unreviewed	333	557724		Bacteria	Pseudomonadota
A0A0E1W3K0	unreviewed	331	320371		Bacteria	Pseudomonadota
A0A0E1WC56	unreviewed	331	320371		Bacteria	Pseudomonadota
A0A0E2L4J3	unreviewed	329	1281200		Bacteria	Pseudomonadota
A0A0E2NIL8	unreviewed	329	1287287		Bacteria	Pseudomonadota
A0A0E2P7E0	unreviewed	329	1287273		Bacteria	Pseudomonadota
A0A0E3MK47	unreviewed	326	47883		Bacteria	Pseudomonadota
A0A0E8XNU1	unreviewed	327	1341643		Bacteria	Pseudomonadota
A0A0F0DJ54	unreviewed	334	1619951		Bacteria	Pseudomonadota
A0A0F0E280	unreviewed	334	1619951		Bacteria	Pseudomonadota
A0A0F1AX61	unreviewed	329	2071710		Bacteria	Pseudomonadota
A0A0F1RGV1	unreviewed	329	61645		Bacteria	Pseudomonadota
A0A0F3KPV5	unreviewed	330	345309		Bacteria	Pseudomonadota
A0A0F3SBJ9	unreviewed	329	562		Bacteria	Pseudomonadota
A0A0F4SY60	unreviewed	334	294		Bacteria	Pseudomonadota
A0A0F4U167	unreviewed	334	294		Bacteria	Pseudomonadota
A0A0F4V560	unreviewed	334	294		Bacteria	Pseudomonadota
A0A0F4XNW0	unreviewed	334	132476		Bacteria	Pseudomonadota
A0A0F5K0V6	unreviewed	328	28092		Bacteria	Pseudomonadota
A0A0F5VDP9	unreviewed	334	265726		Bacteria	Pseudomonadota
A0A0F6L0Z7	unreviewed	333	1435370		Bacteria	Pseudomonadota
A0A0F6LCE2	unreviewed	331	1435370		Bacteria	Pseudomonadota
A0A0F7D3K7	unreviewed	327	47917		Bacteria	Pseudomonadota
A0A0G3GHN3	unreviewed	334	587753		Bacteria	Pseudomonadota
A0A0G3WRZ6	unreviewed	331	60550		Bacteria	Pseudomonadota
A0A0G3WYA4	unreviewed	337	60550		Bacteria	Pseudomonadota
A0A0G3YWK9	unreviewed	337	488447		Bacteria	Pseudomonadota
A0A0G4K190	unreviewed	327	1109412		Bacteria	Pseudomonadota
A0A0G9H9Q7	unreviewed	330	1440763		Bacteria	Pseudomonadota
A0A0H2W572	unreviewed	327	632		Bacteria	Pseudomonadota
A0A0H2WBG8	unreviewed	333	243160		Bacteria	Pseudomonadota
A0A0H2WKT1	unreviewed	331	243160		Bacteria	Pseudomonadota
A0A0H2XL74	unreviewed	331	331271		Bacteria	Pseudomonadota
A0A0H2Y0U7	unreviewed	337	331271		Bacteria	Pseudomonadota
A0A0H2YIJ6	unreviewed	327	377628		Bacteria	Pseudomonadota
A0A0H3B366	unreviewed	327	502800		Bacteria	Pseudomonadota
A0A0H3CGD5	unreviewed	334	716541		Bacteria	Pseudomonadota
A0A0H3EL54	unreviewed	329	685038		Bacteria	Pseudomonadota
A0A0H3F950	unreviewed	328	2703885		Bacteria	Pseudomonadota
A0A0H3FY85	unreviewed	326	1028307		Bacteria	Pseudomonadota
A0A0H3GQ80	unreviewed	326	1125630		Bacteria	Pseudomonadota
A0A0H3HBD0	unreviewed	326	1006551		Bacteria	Pseudomonadota
A0A0H3HLQ0	unreviewed	331	884204		Bacteria	Pseudomonadota
A0A0H3HZL8	unreviewed	333	884204		Bacteria	Pseudomonadota
A0A0H3I8T4	unreviewed	327	1905730		Bacteria	Pseudomonadota
A0A0H3JES9	unreviewed	329	83334		Bacteria	Pseudomonadota
A0A0H3KKI0	unreviewed	331	395019		Bacteria	Pseudomonadota
A0A0H3KVZ4	unreviewed	327	932677		Bacteria	Pseudomonadota
A0A0H3KXM1	unreviewed	334	395019		Bacteria	Pseudomonadota
A0A0H3MGB8	unreviewed	329	585057		Bacteria	Pseudomonadota
A0A0H3NPQ2	unreviewed	327	930944		Bacteria	Pseudomonadota
A0A0H3PM43	unreviewed	329	478008		Bacteria	Pseudomonadota
A0A0H5A2N8	unreviewed	334	200450		Bacteria	Pseudomonadota
A0A0H5ABV0	unreviewed	326	200450		Bacteria	Pseudomonadota
A0A0H5M9T0	unreviewed	327	631		Bacteria	Pseudomonadota
A0A0H9FW29	unreviewed	329	624		Bacteria	Pseudomonadota
A0A0J1CUS0	unreviewed	334	908627		Bacteria	Pseudomonadota
A0A0J1D4H2	unreviewed	335	908627		Bacteria	Pseudomonadota
A0A0J1LWL9	unreviewed	329	1686381		Bacteria	Pseudomonadota
A0A0J1NEI3	unreviewed	329	1686382		Bacteria	Pseudomonadota
A0A0J2GYG0	unreviewed	326	1134687		Bacteria	Pseudomonadota
A0A0J4N766	unreviewed	326	1463165		Bacteria	Pseudomonadota
A0A0J4REU8	unreviewed	326	573		Bacteria	Pseudomonadota
A0A0J5P7Y8	unreviewed	326	61647		Bacteria	Pseudomonadota
A0A0J5WG48	unreviewed	331	292		Bacteria	Pseudomonadota
A0A0J5X150	unreviewed	337	292		Bacteria	Pseudomonadota
A0A0J6A1P0	unreviewed	331	292		Bacteria	Pseudomonadota
A0A0J6GGC9	unreviewed	334	882211		Bacteria	Pseudomonadota
A0A0J6GJ68	unreviewed	334	47884		Bacteria	Pseudomonadota
A0A0J6H6C9	unreviewed	334	163011		Bacteria	Pseudomonadota
A0A0J8FPZ1	unreviewed	334	1674920		Bacteria	Pseudomonadota
A0A0J8FWC5	unreviewed	331	1674920		Bacteria	Pseudomonadota
A0A0J8Y9R9	unreviewed	329	435910		Bacteria	Pseudomonadota
A0A0J9BBF4	unreviewed	327	1628855		Bacteria	Pseudomonadota
A0A0K0HVA0	unreviewed	326	569		Bacteria	Pseudomonadota
A0A0K1QWQ1	unreviewed	334	1221522		Bacteria	Pseudomonadota
A0A0K1ZIG6	unreviewed	331	305		Bacteria	Pseudomonadota
A0A0K2W4X2	unreviewed	330	69974		Bacteria	Pseudomonadota
A0A0K3PAK8	unreviewed	329	562		Bacteria	Pseudomonadota
A0A0K4GST1	unreviewed	329	562		Bacteria	Pseudomonadota
A0A0K4N0H3	unreviewed	329	562		Bacteria	Pseudomonadota
A0A0K8LU14	unreviewed	337	103796		Bacteria	Pseudomonadota
A0A0K9T5U7	unreviewed	329	656416		Bacteria	Pseudomonadota
A0A0L0ARA7	unreviewed	326	1681196		Bacteria	Pseudomonadota
A0A0L0BA02	unreviewed	333	1681194		Bacteria	Pseudomonadota
A0A0L0GM46	unreviewed	326	379893		Bacteria	Pseudomonadota
A0A0L0MD05	unreviewed	335	242163		Bacteria	Pseudomonadota
A0A0L6Y7E0	unreviewed	329	562		Bacteria	Pseudomonadota
A0A0L7T696	unreviewed	327	1560201		Bacteria	Pseudomonadota
A0A0L8BRV9	unreviewed	327	106592		Bacteria	Pseudomonadota
A0A0L8IMB0	unreviewed	337	199198		Bacteria	Pseudomonadota
A0A0M6Y544	unreviewed	327	187304		Bacteria	Pseudomonadota
A0A0M7EE39	unreviewed	329	550		Bacteria	Pseudomonadota
A0A0M9HAP7	unreviewed	337	86841		Bacteria	Pseudomonadota
A0A0M9HQW6	unreviewed	337	129139		Bacteria	Pseudomonadota
A0A0N0E3G1	unreviewed	334	50340		Bacteria	Pseudomonadota
A0A0N0GD90	unreviewed	337	81035		Bacteria	Pseudomonadota
A0A0N0L5Z8	unreviewed	334	1690247		Bacteria	Pseudomonadota
A0A0N0WT53	unreviewed	337	59511		Bacteria	Pseudomonadota
A0A0N0XHQ4	unreviewed	331	857265		Bacteria	Pseudomonadota
A0A0N1AVZ6	unreviewed	326	1523421		Bacteria	Pseudomonadota
A0A0N1DL58	unreviewed	327	1538158		Bacteria	Pseudomonadota
A0A0N8M022	unreviewed	329	208224		Bacteria	Pseudomonadota
A0A0N8QT93	unreviewed	337	251704		Bacteria	Pseudomonadota
A0A0N8RGE0	unreviewed	337	129137		Bacteria	Pseudomonadota
A0A0N8RPH9	unreviewed	337	251654		Bacteria	Pseudomonadota
A0A0N8S6X8	unreviewed	337	34065		Bacteria	Pseudomonadota
A0A0N8T2C9	unreviewed	337	129140		Bacteria	Pseudomonadota
A0A0N8T5N6	unreviewed	337	264459		Bacteria	Pseudomonadota
A0A0N8TF10	unreviewed	337	251703		Bacteria	Pseudomonadota
A0A0N9X1S7	unreviewed	334	294		Bacteria	Pseudomonadota
A0A0P0R799	unreviewed	332	1323664		Bacteria	Pseudomonadota
A0A0P0RHL9	unreviewed	334	1323664		Bacteria	Pseudomonadota
A0A0P0RI87	unreviewed	333	1323664		Bacteria	Pseudomonadota
A0A0P0Z3J9	unreviewed	327	424757		Bacteria	Pseudomonadota
A0A0P7YNL6	unreviewed	331	1479235		Bacteria	Pseudomonadota
A0A0P8I5H4	unreviewed	329	546		Bacteria	Pseudomonadota
A0A0P8XBD9	unreviewed	334	294		Bacteria	Pseudomonadota
A0A0P9HPJ3	unreviewed	337	1292044		Bacteria	Pseudomonadota
A0A0P9IE75	unreviewed	337	129135		Bacteria	Pseudomonadota
A0A0P9K4P7	unreviewed	337	251702		Bacteria	Pseudomonadota
A0A0P9LMY7	unreviewed	337	264453		Bacteria	Pseudomonadota
A0A0P9LYL3	unreviewed	337	46678		Bacteria	Pseudomonadota
A0A0P9M567	unreviewed	337	200452		Bacteria	Pseudomonadota
A0A0P9MZG6	unreviewed	337	86840		Bacteria	Pseudomonadota
A0A0P9QFI4	unreviewed	337	264452		Bacteria	Pseudomonadota
A0A0P9QXX4	unreviewed	337	192088		Bacteria	Pseudomonadota
A0A0P9RNI6	unreviewed	337	318		Bacteria	Pseudomonadota
A0A0P9T817	unreviewed	337	199201		Bacteria	Pseudomonadota
A0A0P9TGN8	unreviewed	337	53707		Bacteria	Pseudomonadota
A0A0P9TJS0	unreviewed	337	53410		Bacteria	Pseudomonadota
A0A0P9U9C1	unreviewed	337	86176		Bacteria	Pseudomonadota
A0A0P9US57	unreviewed	337	59511		Bacteria	Pseudomonadota
A0A0P9X4Y9	unreviewed	337	251723		Bacteria	Pseudomonadota
A0A0P9X5I6	unreviewed	337	319		Bacteria	Pseudomonadota
A0A0P9YD71	unreviewed	337	83963		Bacteria	Pseudomonadota
A0A0P9ZB67	unreviewed	337	55398		Bacteria	Pseudomonadota
A0A0P9ZCI8	unreviewed	337	663708		Bacteria	Pseudomonadota
A0A0Q0APS5	unreviewed	337	322		Bacteria	Pseudomonadota
A0A0Q0C8U2	unreviewed	337	83167		Bacteria	Pseudomonadota
A0A0Q0DCP7	unreviewed	337	251700		Bacteria	Pseudomonadota
A0A0Q0DKB6	unreviewed	337	251707		Bacteria	Pseudomonadota
A0A0Q0EHS0	unreviewed	337	103985		Bacteria	Pseudomonadota
A0A0Q0G077	unreviewed	337	321		Bacteria	Pseudomonadota
A0A0Q2SBE4	unreviewed	333	29494		Bacteria	Pseudomonadota
A0A0Q4E1Q5	unreviewed	326	1735680		Bacteria	Pseudomonadota
A0A0Q4E8H9	unreviewed	334	1735680		Bacteria	Pseudomonadota
A0A0Q4MNF9	unreviewed	327	1736225		Bacteria	Pseudomonadota
A0A0Q5EW80	unreviewed	334	1736267		Bacteria	Pseudomonadota
A0A0Q5PVT7	unreviewed	336	1736287		Bacteria	Pseudomonadota
A0A0Q6GB92	unreviewed	327	1736380		Bacteria	Pseudomonadota
A0A0Q6QD64	unreviewed	327	1736427		Bacteria	Pseudomonadota
A0A0Q6QFW3	unreviewed	334	1736515		Bacteria	Pseudomonadota
A0A0Q6SBF0	unreviewed	327	1736428		Bacteria	Pseudomonadota
A0A0Q6VWM8	unreviewed	329	1736522		Bacteria	Pseudomonadota
A0A0Q6Y9A8	unreviewed	334	1736526		Bacteria	Pseudomonadota
A0A0Q7F1T4	unreviewed	329	1736532		Bacteria	Pseudomonadota
A0A0Q7VLD7	unreviewed	330	1736555		Bacteria	Pseudomonadota
A0A0Q8AH94	unreviewed	334	1736561		Bacteria	Pseudomonadota
A0A0Q8HRT1	unreviewed	334	1736585		Bacteria	Pseudomonadota
A0A0Q8Z4U6	unreviewed	326	1736604		Bacteria	Pseudomonadota
A0A0Q8Z593	unreviewed	334	1736604		Bacteria	Pseudomonadota
A0A0R3A8N6	unreviewed	334	76758		Bacteria	Pseudomonadota
A0A0S2EW04	unreviewed	327	1349819		Bacteria	Pseudomonadota
A0A0S4HZE5	unreviewed	334	1283291		Bacteria	Pseudomonadota
A0A0S4U5H0	unreviewed	331	305		Bacteria	Pseudomonadota
A0A0S8ZGZ6	unreviewed	334	1736221		Bacteria	Pseudomonadota
A0A0T6XFG0	unreviewed	327	1358417		Bacteria	Pseudomonadota
A0A0T7A0H0	unreviewed	327	1358418		Bacteria	Pseudomonadota
A0A0T9LGH2	unreviewed	327	633		Bacteria	Pseudomonadota
A0A0T9M332	unreviewed	327	631		Bacteria	Pseudomonadota
A0A0T9NHU5	unreviewed	327	1288385		Bacteria	Pseudomonadota
A0A0T9PK77	unreviewed	327	367190		Bacteria	Pseudomonadota
A0A0T9S622	unreviewed	327	630		Bacteria	Pseudomonadota
A0A0T9T4D1	unreviewed	327	29483		Bacteria	Pseudomonadota
A0A0T9T8L5	unreviewed	327	263819		Bacteria	Pseudomonadota
A0A0T9TUM9	unreviewed	327	29484		Bacteria	Pseudomonadota
A0A0U1HPT6	unreviewed	327	29485		Bacteria	Pseudomonadota
A0A0U1QYN2	unreviewed	327	349747		Bacteria	Pseudomonadota
A0A0U3UF86	unreviewed	327	470934		Bacteria	Pseudomonadota
A0A0U4J1U0	unreviewed	327	47917		Bacteria	Pseudomonadota
A0A0U4WTP0	unreviewed	334	47885		Bacteria	Pseudomonadota
A0A0U5L0Q9	unreviewed	327	1619313		Bacteria	Pseudomonadota
A0A0V9I3I1	unreviewed	334	573		Bacteria	Pseudomonadota
A0A0W0HS31	unreviewed	326	1198309		Bacteria	Pseudomonadota
A0A0W0I1Q8	unreviewed	334	1198309		Bacteria	Pseudomonadota
A0A0W0I8X4	unreviewed	337	1198305		Bacteria	Pseudomonadota
A0A0W0IPP9	unreviewed	337	716914		Bacteria	Pseudomonadota
A0A0W8J9S1	unreviewed	334	1761910		Bacteria	Pseudomonadota
A0A0X1T6G2	unreviewed	333	46677		Bacteria	Pseudomonadota
A0A0X4ECT1	unreviewed	329	2364150		Bacteria	Pseudomonadota
A0A0X7JYQ9	unreviewed	334	191390		Bacteria	Pseudomonadota
A0A0X7JZ96	unreviewed	326	191390		Bacteria	Pseudomonadota
A0A0X8L321	unreviewed	336	1795043		Bacteria	Pseudomonadota
A0A0X8LPJ2	unreviewed	333	676		Bacteria	Pseudomonadota
A0A100HQN7	unreviewed	331	1218247		Bacteria	Pseudomonadota
A0A102EYN1	unreviewed	334	1637844		Bacteria	Pseudomonadota
A0A102JL76	unreviewed	334	101571		Bacteria	Pseudomonadota
A0A102JZ13	unreviewed	334	101571		Bacteria	Pseudomonadota
A0A102ZRN4	unreviewed	331	101571		Bacteria	Pseudomonadota
A0A103BBF0	unreviewed	331	1637859		Bacteria	Pseudomonadota
A0A103BJS5	unreviewed	334	1637859		Bacteria	Pseudomonadota
A0A103DV87	unreviewed	334	1503053		Bacteria	Pseudomonadota
A0A103E3Y7	unreviewed	331	1503053		Bacteria	Pseudomonadota
A0A103EGT3	unreviewed	334	1385594		Bacteria	Pseudomonadota
A0A103ERE5	unreviewed	331	1385594		Bacteria	Pseudomonadota
A0A103LD52	unreviewed	331	1637866		Bacteria	Pseudomonadota
A0A103LK28	unreviewed	337	1637866		Bacteria	Pseudomonadota
A0A103RQ22	unreviewed	334	101571		Bacteria	Pseudomonadota
A0A104DR34	unreviewed	337	292		Bacteria	Pseudomonadota
A0A104IST8	unreviewed	334	101571		Bacteria	Pseudomonadota
A0A105IJ34	unreviewed	334	101571		Bacteria	Pseudomonadota
A0A105KZQ6	unreviewed	334	101571		Bacteria	Pseudomonadota
A0A105ZBA6	unreviewed	334	101571		Bacteria	Pseudomonadota
A0A106QGC4	unreviewed	334	101571		Bacteria	Pseudomonadota
A0A107FY30	unreviewed	331	101571		Bacteria	Pseudomonadota
A0A107Z7Q1	unreviewed	331	1503054		Bacteria	Pseudomonadota
A0A108EZ94	unreviewed	331	1503055		Bacteria	Pseudomonadota
A0A108FI54	unreviewed	334	101571		Bacteria	Pseudomonadota
A0A108M261	unreviewed	337	1503054		Bacteria	Pseudomonadota
A0A109EMQ4	unreviewed	331	95486		Bacteria	Pseudomonadota
A0A109K3Y1	unreviewed	327	1864509		Bacteria	Pseudomonadota
A0A109KLL6	unreviewed	334	294		Bacteria	Pseudomonadota
A0A109KX08	unreviewed	326	294		Bacteria	Pseudomonadota
A0A109ZZX2	unreviewed	334	1795043		Bacteria	Pseudomonadota
A0A117NES3	unreviewed	334	1749078		Bacteria	Pseudomonadota
A0A117VJS3	unreviewed	331	1637844		Bacteria	Pseudomonadota
A0A117ZTU4	unreviewed	337	292		Bacteria	Pseudomonadota
A0A118KLG3	unreviewed	331	292		Bacteria	Pseudomonadota
A0A118M0J7	unreviewed	331	292		Bacteria	Pseudomonadota
A0A118NR84	unreviewed	331	101571		Bacteria	Pseudomonadota
A0A118XLT3	unreviewed	331	101571		Bacteria	Pseudomonadota
A0A119DFH4	unreviewed	334	1503055		Bacteria	Pseudomonadota
A0A119V106	unreviewed	334	101571		Bacteria	Pseudomonadota
A0A120DWS1	unreviewed	337	95486		Bacteria	Pseudomonadota
A0A124P2Z7	unreviewed	331	101571		Bacteria	Pseudomonadota
A0A124RBS8	unreviewed	334	101571		Bacteria	Pseudomonadota
A0A125AUR0	unreviewed	331	101571		Bacteria	Pseudomonadota
A0A127I046	unreviewed	334	47878		Bacteria	Pseudomonadota
A0A127I637	unreviewed	326	47878		Bacteria	Pseudomonadota
A0A132C4U5	unreviewed	331	1637860		Bacteria	Pseudomonadota
A0A132C8L2	unreviewed	333	1637860		Bacteria	Pseudomonadota
A0A132EC67	unreviewed	331	1207504		Bacteria	Pseudomonadota
A0A132EPK1	unreviewed	334	1207504		Bacteria	Pseudomonadota
A0A132F5W7	unreviewed	331	1207504		Bacteria	Pseudomonadota
A0A132FV82	unreviewed	327	360921		Bacteria	Pseudomonadota
A0A135HY65	unreviewed	326	1494590		Bacteria	Pseudomonadota
A0A140NAP3	unreviewed	329	469008		Bacteria	Pseudomonadota
A0A142MBY7	unreviewed	330	83263		Bacteria	Pseudomonadota
A0A142NEM9	unreviewed	334	198620		Bacteria	Pseudomonadota
A0A142P8Q1	unreviewed	337	95486		Bacteria	Pseudomonadota
A0A144THZ9	unreviewed	329	158836		Bacteria	Pseudomonadota
A0A149PXJ6	unreviewed	334	1399968		Bacteria	Pseudomonadota
A0A149PZS5	unreviewed	332	1399968		Bacteria	Pseudomonadota
A0A154ICR6	unreviewed	327	384		Bacteria	Pseudomonadota
A0A156UGJ1	unreviewed	329	550		Bacteria	Pseudomonadota
A0A157ZBZ4	unreviewed	335	1777136		Bacteria	Pseudomonadota
A0A157ZGM4	unreviewed	334	1777139		Bacteria	Pseudomonadota
A0A157ZN61	unreviewed	334	1777140		Bacteria	Pseudomonadota
A0A158AHU9	unreviewed	335	1777143		Bacteria	Pseudomonadota
A0A158BPN7	unreviewed	335	1777139		Bacteria	Pseudomonadota
A0A158BS20	unreviewed	335	1777138		Bacteria	Pseudomonadota
A0A158CKL6	unreviewed	335	1777141		Bacteria	Pseudomonadota
A0A158CNA7	unreviewed	335	1777140		Bacteria	Pseudomonadota
A0A158CYU9	unreviewed	335	1777137		Bacteria	Pseudomonadota
A0A158E952	unreviewed	335	1777144		Bacteria	Pseudomonadota
A0A158EZA5	unreviewed	336	1232866		Bacteria	Pseudomonadota
A0A158FGG3	unreviewed	336	1226301		Bacteria	Pseudomonadota
A0A158G2X0	unreviewed	334	1353886		Bacteria	Pseudomonadota
A0A158H8D1	unreviewed	336	326474		Bacteria	Pseudomonadota
A0A158HR79	unreviewed	336	196367		Bacteria	Pseudomonadota
A0A158ITA4	unreviewed	334	1232866		Bacteria	Pseudomonadota
A0A158J328	unreviewed	335	1353886		Bacteria	Pseudomonadota
A0A158JAH3	unreviewed	334	326475		Bacteria	Pseudomonadota
A0A158JN70	unreviewed	337	326475		Bacteria	Pseudomonadota
A0A158JQ95	unreviewed	334	1226301		Bacteria	Pseudomonadota
A0A158KNE6	unreviewed	337	326476		Bacteria	Pseudomonadota
A0A158KZY3	unreviewed	335	1777135		Bacteria	Pseudomonadota
A0A160BRT6	unreviewed	334	105219		Bacteria	Pseudomonadota
